,X_value,Y_value,Z_value
154,-9.86348095768526,-9.88257327798826,28.60175281377411
155,-9.869900249302216,-9.724346317759665,28.816370435787427
156,-9.859201429940624,-9.545214656635263,29.008727044770126
157,-9.831297162299576,-9.348241914573926,29.176301513945234
158,-9.786536795582714,-9.13619135663659,29.31673363952156
159,-9.725531690896416,-8.912246744741296,29.428306909650953
160,-9.649024215298423,-8.67989219570401,29.509358453480527
161,-9.557975079098759,-8.442671897320288,29.55972734802452
162,-9.453781679111996,-8.204250179344854,29.57887718333038
163,-9.337972418104076,-7.967930945654917,29.56723708736015
164,-9.21190102423912,-7.73683788718893,29.525826239023665
165,-9.077619924088536,-7.514274907824106,29.455556535240248
166,-8.936701189068717,-7.302704917723453,29.358466333829572
167,-8.79106623979971,-7.104410614111231,29.236164864649275
168,-8.642505490950183,-6.921614623232106,29.091173254476317
169,-8.492896694489726,-6.755758648596132,28.925476220135113
170,-8.343855590485191,-6.6079239678358554,28.74180945238365
171,-8.197216262255706,-6.479312000542983,28.54264043700363
172,-8.054332437965392,-6.3701029596562755,28.330383018781507
173,-7.916732520380192,-6.280777413012416,28.107665606484755
174,-7.785682900363311,-6.2113353606114075,27.87684840390457
175,-7.66236263147705,-6.161416376575737,27.640237973836896
176,-7.547688755380973,-6.130900318946228,27.39997995609192
177,-7.442665651035556,-6.119006264988268,27.158488195456084
178,-7.347948348197631,-6.1252536468651755,26.91747920377754
179,-7.264104539323119,-6.149041754781091,26.679044979871215
180,-7.191789254168853,-6.189469524042234,26.444955676580502
181,-7.131264504637565,-6.245816102893571,26.216713241772535
182,-7.082835971282444,-6.317480781539249,25.996141469285963
183,-7.046721997355766,-6.403502424305895,25.784688665992658
184,-7.022966251507988,-6.503100108458899,25.583534933788222
185,-7.01174340834093,-6.615733195181988,25.394343143525543
186,-7.0128787932527725,-6.740500619781379,25.218347038095473
187,-7.026285068942604,-6.876501317563285,25.056887642379376
188,-7.0519185667599675,-7.023134578731849,24.9110914172776
189,-7.089429937501221,-7.17937919663412,24.781762977718962
190,-7.138644506564541,-7.344814674412994,24.670404271570586
191,-7.199212924746284,-7.518179521497171,24.578141759732816
192,-7.27065483689144,-7.698752886131629,24.505565493153455
193,-7.352620893796367,-7.885273277745064,24.45396285571861
194,-7.444587071655597,-8.07689970262328,24.42392389837608
195,-7.54598567801321,-8.272190457256219,24.416467800035704
196,-7.656118014461917,-8.470004193031759,24.431970047664258
197,-7.774329051244887,-8.668658922521495,24.471127974200055
